timestamp_unix,timestamp_iso,elapsed_sec,pid,pid_alive,rss_mb,vsz_mb,waiting_queue_size,running_batch_size,prefill_decode_size,req_to_token_pool_used,available_kv_tokens,memory_kvcache,internal_state_count,server_info_ok,server_info_status,server_info_error,metrics_ok,metrics_status,metrics_error
1771034320.019682,2026-02-14T01:58:40.019682+00:00,2340.0,824178,True,365.289,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034350.019563,2026-02-14T01:59:10.019563+00:00,2370.0,824178,True,365.289,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034380.027431,2026-02-14T01:59:40.027431+00:00,2400.0,824178,True,365.289,4230.535,0,0,0,7,191936,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034410.01953,2026-02-14T02:00:10.019530+00:00,2430.0,824178,True,365.289,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034440.019668,2026-02-14T02:00:40.019668+00:00,2460.0,824178,True,365.289,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034470.019664,2026-02-14T02:01:10.019664+00:00,2490.0,824178,True,365.289,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034500.019614,2026-02-14T02:01:40.019614+00:00,2520.0,824178,True,365.289,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034530.029808,2026-02-14T02:02:10.029808+00:00,2550.0,824178,True,365.289,4230.535,0,0,0,5,192064,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034560.019483,2026-02-14T02:02:40.019483+00:00,2580.0,824178,True,365.289,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034590.019541,2026-02-14T02:03:10.019541+00:00,2610.0,824178,True,365.289,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034620.033989,2026-02-14T02:03:40.033989+00:00,2640.0,824178,True,365.289,4230.535,0,0,0,5,192064,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034650.01973,2026-02-14T02:04:10.019730+00:00,2670.0,824178,True,362.773,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034680.020226,2026-02-14T02:04:40.020226+00:00,2700.0,824178,True,362.773,4230.535,6,0,6,6,192000,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034710.019303,2026-02-14T02:05:10.019303+00:00,2730.0,824178,True,362.773,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034740.019359,2026-02-14T02:05:40.019359+00:00,2760.0,824178,True,362.773,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034770.019366,2026-02-14T02:06:10.019366+00:00,2790.0,824178,True,362.773,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034800.019277,2026-02-14T02:06:40.019277+00:00,2820.0,824178,True,362.773,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034830.019385,2026-02-14T02:07:10.019385+00:00,2850.0,824178,True,362.773,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034860.019379,2026-02-14T02:07:40.019379+00:00,2880.0,824178,True,362.773,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034890.029487,2026-02-14T02:08:10.029487+00:00,2910.0,824178,True,362.773,4230.535,0,0,0,6,192000,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034920.019545,2026-02-14T02:08:40.019545+00:00,2940.0,824178,True,362.773,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034950.01951,2026-02-14T02:09:10.019510+00:00,2970.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771034980.024582,2026-02-14T02:09:40.024582+00:00,3000.0,824178,True,356.344,4230.535,0,0,0,4,192128,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035010.020185,2026-02-14T02:10:10.020185+00:00,3030.0,824178,True,356.344,4230.535,8,0,8,4,192128,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035040.019551,2026-02-14T02:10:40.019551+00:00,3060.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035070.019668,2026-02-14T02:11:10.019668+00:00,3090.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035100.019587,2026-02-14T02:11:40.019587+00:00,3120.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035130.019565,2026-02-14T02:12:10.019565+00:00,3150.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035160.019529,2026-02-14T02:12:40.019529+00:00,3180.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035190.022219,2026-02-14T02:13:10.022219+00:00,3210.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035220.019855,2026-02-14T02:13:40.019855+00:00,3240.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035250.019639,2026-02-14T02:14:10.019639+00:00,3270.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035280.01942,2026-02-14T02:14:40.019420+00:00,3300.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035310.019385,2026-02-14T02:15:10.019385+00:00,3330.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035340.01929,2026-02-14T02:15:40.019290+00:00,3360.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035370.019425,2026-02-14T02:16:10.019425+00:00,3390.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035400.019297,2026-02-14T02:16:40.019297+00:00,3420.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035430.019362,2026-02-14T02:17:10.019362+00:00,3450.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035460.01949,2026-02-14T02:17:40.019490+00:00,3480.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035490.019602,2026-02-14T02:18:10.019602+00:00,3510.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035520.019443,2026-02-14T02:18:40.019443+00:00,3540.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035550.019444,2026-02-14T02:19:10.019444+00:00,3570.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035580.019492,2026-02-14T02:19:40.019492+00:00,3600.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035610.019726,2026-02-14T02:20:10.019726+00:00,3630.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035640.019705,2026-02-14T02:20:40.019705+00:00,3660.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035670.019484,2026-02-14T02:21:10.019484+00:00,3690.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035700.019736,2026-02-14T02:21:40.019736+00:00,3720.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035730.039732,2026-02-14T02:22:10.039732+00:00,3750.0,824178,True,356.344,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035760.019764,2026-02-14T02:22:40.019764+00:00,3780.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035790.019605,2026-02-14T02:23:10.019605+00:00,3810.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035820.019714,2026-02-14T02:23:40.019714+00:00,3840.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035850.019823,2026-02-14T02:24:10.019823+00:00,3870.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035880.031832,2026-02-14T02:24:40.031832+00:00,3900.0,824178,True,356.312,4230.535,0,0,0,7,191936,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035910.028157,2026-02-14T02:25:10.028157+00:00,3930.0,824178,True,356.312,4230.535,0,0,0,6,192000,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035940.019587,2026-02-14T02:25:40.019587+00:00,3960.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771035970.019989,2026-02-14T02:26:10.019989+00:00,3990.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036000.019798,2026-02-14T02:26:40.019798+00:00,4020.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036030.020024,2026-02-14T02:27:10.020024+00:00,4050.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036060.019125,2026-02-14T02:27:40.019125+00:00,4080.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036090.019825,2026-02-14T02:28:10.019825+00:00,4110.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036120.019729,2026-02-14T02:28:40.019729+00:00,4140.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036150.019749,2026-02-14T02:29:10.019749+00:00,4170.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036180.019735,2026-02-14T02:29:40.019735+00:00,4200.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036210.019668,2026-02-14T02:30:10.019668+00:00,4230.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036240.019958,2026-02-14T02:30:40.019958+00:00,4260.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036270.019741,2026-02-14T02:31:10.019741+00:00,4290.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036300.019516,2026-02-14T02:31:40.019516+00:00,4320.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036330.019639,2026-02-14T02:32:10.019639+00:00,4350.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036360.019813,2026-02-14T02:32:40.019813+00:00,4380.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036390.019553,2026-02-14T02:33:10.019553+00:00,4410.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036420.019591,2026-02-14T02:33:40.019591+00:00,4440.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036450.019449,2026-02-14T02:34:10.019449+00:00,4470.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036480.019511,2026-02-14T02:34:40.019511+00:00,4500.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
